"filename", "language", "Lua", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\conf.lua", "Lua", -13, 0, -2, -4, -19
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\main.lua", "Lua", -96, 0, -2, -25, -123
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\scripts\assets.lua", "Lua", -121, 0, -11, -22, -154
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\scripts\classes\plant.lua", "Lua", -271, 0, -7, -71, -349
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\scripts\classes\pot.lua", "Lua", -70, 0, -13, -26, -109
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\scripts\clock.lua", "Lua", -19, 0, 0, -8, -27
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\scripts\color.lua", "Lua", -99, 0, -7, -19, -125
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\scripts\cursor.lua", "Lua", -64, 0, 0, -14, -78
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\scripts\enums.lua", "Lua", -53, 0, 0, -10, -63
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\scripts\interface\check.lua", "Lua", -25, 0, -4, -14, -43
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\scripts\interface\elements\drw-frame.lua", "Lua", -83, 0, -11, -31, -125
"c:\Users\Administrator\Documents\Works\plant-interactive final revision\scripts\interface\elements\drw-image.lua", "Lua", -34, 0, -1, -9, -44
